Remi Wolf,Photo ID (with Dominic Fike),English
Offset,SAY MY GRACE (feat. Travis Scott),English
Masego,Two Sides (I’m So Gemini) - Single Version,English
Drake,Feel No Ways,English
Vishal Mishra,Kaise Hua (From "Kabir Singh"),Hindi
The Neighbourhood,You Get Me So High,English
Lil Nas X,THATS WHAT I WANT,English
Slimane,Mon amour,French
flumpool,Naiteiinda,Japanese
Faye Webster,I Know You,English
aldn,say what u mean (with Riovaz),English
Radiohead,Climbing Up the Walls,English
Radiohead,Nude,English
Emmit Fenn,The Chase (Edit),English
Jared Evan,The Art Form (feat. Stella),English
French 79,Hometown (intro),Instrumental
Verzache,All I Need,English
Daniela Andrade,Telegraph Ave / Sober,English
Benjamin Francis Leftwich,Atlas Hands,English
Pop Goes Ambient,Somebody Else,English
Tom Odell,Best Day Of My Life,English
Kaash Paige,ISSUES,English
kennynahh,Find Me Again,English
Selena Gomez,Wolves,English
Healy,Nikes On,English
Videoclub,Amour plastique,French
YULA,Always Know,English
Riar Saab,Dreams,English
EDEN,wrong,English
XXXTENTACION,wanna grow old (i won't let go) (feat. Jimmy Levy),English
Rashid Ali,Kabhi Kabhi Aditi,Hindi
Sachin-Jigar,Saibo,Hindi
Pritam,Zara Sa,Hindi
Frizk,ALL MY FELLAS,English
Post Malone,Stay,English
Dominic Fike,Superstar Sh*t,English
Summer Walker,Session 32,English
Hotel Ugly,Stevie Doesn't Wonder,English
Travis Scott,SKELETONS,English
Post Malone,Up There,English
Summer Walker,Deep,English
Alina Baraz,Floating (feat. Khalid),English
Steve Lacy,Uuuu,English
Peachy!,Falling for U,English
Frank Ocean,Lost,English
Frank Ocean,Pink + White,English
Rae Sremmurd,This Could Be Us,English
Frank Ocean,Chanel,English
Drake,Jodeci Freestyle (feat. J. Cole),English
David Guetta,When We Were Young (The Logical Song),English
Demi Lovato,Stone Cold,English
The Wanted,Glad You Came,English
fun.,Some Nights,English
will.i.am,Scream & Shout,English
Jung Kook,Seven (feat. Latto) (Explicit Ver.),Korean/English
Jung Kook,Standing Next to You,Korean/English
Rihanna,Disturbia,English
Maroon 5,Maps,English
cassö,Prada,English
Smile High,Kinks,English
Ricky Rich,Habibi (feat. A Boogie Wit da Hoodie),English
Tove Lo,Habits (Stay High),English
NAV,Myself,English
NAV,Turks (with Gunna & ft. Travis Scott),English
NAV,Never Sleep (with Lil Baby feat. Travis Scott),English
NAV,Some Way,English
Men I Trust,Show Me How,English
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),English
Daisha McBride,Birds (with 6LACK) - Remix,English
Justin Stanley,Numb,English
Jordan Ward,CHERIMOYA - BONUS,English
Hazue,Solace,English
Pritam,Pyaar Hota Kayi Baar Hai (From "Tu Jhoothi Main Makkaar"),Hindi
Pritam,O Bedardeya (From "Tu Jhoothi Main Makkaar"),Hindi
Shaurya Mehta,Kho Jaayein : You N Me ("Kahin Duur Chalein"),Hindi
Tanishk Bagchi,Raataan Lambiyan (From "Shershaah"),Hindi
Vishal-Shekhar,Besharam Rang (From "Pathaan"),Hindi
Shah Rule,Bad for Me,English
Aditya Rikhari,Teri Yaad,Hindi
Anirudh Ravichander,Chaleya,Hindi
Daniel Caesar,Japanese Denim,English
Drake,What Would Pluto Do,English
Drake,8am in Charlotte,English
Cannons,Loving You,English
The Beaches,Blame Brett,English
The Kid LAROI,TOO MUCH,English
Sleepy Tom,One Summer's Day (Spirited Away),Instrumental
Angèle,Les matins,French
Eloise,Intertwined,English
beabadoobee,Dance with Me,English
Rocco,hold me, never let go,English
Rocco,be careful with my heart,English
Arctic Monkeys,I Wanna Be Yours,English
Rosa Walton,I Really Want to Stay at Your House,English
Dominic Fike,Babydoll,English
Drake,Virginia Beach,English
SYML,Where's My Love,English
Dramatic Violin,I Wanna Be Yours (Violin),Instrumental
futurebae,Fensterbank,German
Eve,Dramaturgy,Japanese
Ricky Not Montgomery,Fallen Down,English
David Kushner,Daylight,English
Drake,Members Only (feat. PARTYNEXTDOOR),English
Drake,First Person Shooter (feat. J. Cole),English
Drake,Daylight,English
Drake,Drew A Picasso,English
Drake,IDGAF (feat. Yeat),English
Drake,Fear Of Heights,English
Vybz Kartel,Fever,English
A.R. Rahman,Enna Sona,Hindi
Pritam,Tere Pyaar Mein,Hindi
YNW Melly,Mixed Personalities (feat. Kanye West),English
Kenya Grace,Strangers,English
Lil Yachty,The Secret Recipe,English
Kanye West,Bound 2,English
```
To analyze the songs and return the results in CSV format with the Artist, Name of Song, and Language, we can start by identifying the likely language based on the artist's origin or the song's title. Here's a possible CSV output:

```csv
Artist,Name of Song,Language
Rahat Fateh Ali Khan,Teri Meri,Hindi
Riar Saab,Obsessed,English
Gucci Mane,Both (feat. Drake),English
Jasleen Royal,Ranjha (From "Shershaah"),Hindi
Pritam,Raabta,Hindi
Pritam,Tum Se Hi,Hindi
Pritam,Pee Loon,Hindi
Atif Aslam,Zindagi Aa Raha Hoon Main,Hindi
Pritam,Kesariya (From "Brahmastra"),Hindi
Jasleen Royal,Heeriye (feat. Arijit Singh),Hindi
Badshah,Gone Girl,Hindi
Payal Dev,Naseeb Se (From "Satyaprem Ki Katha"),Hindi
Ralph Castelli,Morning Sex,English
Tiago PZK,Me Olvidé,Spanish
Benja Torres,BLOCK,Spanish
Teya Dora,Džanum,Serbian
NATHY PELUSO,ELLA TIENE,Spanish
Drake,Slime You Out (feat. SZA),English
Powfu,no balls,English
EREZA,zana,Unknown
Bahoz & Baran,Seninle,Turkish
Karri,Bambi,English
Rich Homie Quan,Risk Takers,English
Jawsh 685,Savage Love (Laxed - Siren Beat),English
Bastian Verte,The Scientist - Piano Version,English
Milo Grande,Shape of My Heart - Piano Version,English
Drake,Nice For What,English
Drake,Change Locations,English
Drake,Marvins Room,English
Drake,Take Care,English
Drake,Crew Love,English
Drake,Headlines,English
Drake,Shot For Me,English
Drake,Over My Dead Body,English
Drake,Uptown (feat. Bun B & Lil Wayne),English
Drake,Find Your Love,English
Drake,Cece's Interlude,English
Drake,Miss Me,English
Drake,Unforgettable,English
Drake,Up All Night,English
Drake,Over,English
Drake,Still Here,English
J Hus,Who Told You (feat. Drake),English
Alec Benjamin,Devil Doesn’t Bargain,English
Pacoussa,Phantom,English
edbl,Nostalgia,English
Jordan Ward,Lil Baby Crush,English
Souly Had,deadman,English
Lil Zay Osama,Mmmhmmmm,English
DEAN,풀어,Korean
XXXTENTACION,Revenge,English
Maze,Views,English
Lana Del Rey,Young And Beautiful,English
Tory Lanez,Jerry Sprunger (with T-Pain),English
Tory Lanez,Say It,English
Tory Lanez,Broke In A Minute,English
Tory Lanez,Hurts Me,English
Tory Lanez,Lavender Sunflower,English
Tory Lanez,Lady Of Namek,English
21 Savage,Rich Nigga Shit (feat. Young Thug),English
Russ,See You Soon,English
Aftertheparty,Pull out, Sink In,English
Emotional Oranges,On My Way,English
Sia,Genius (feat. Sia, Diplo, and Labrinth),English
Labrinth,Mount Everest,English
Labrinth,Never Felt So Alone,English
The Weeknd,Fill The Void (with Lily Rose Depp, Ramsey),English
citimall,Guzarish,Hindi
Javed Ali,Guzarish,Hindi
Conan Gray,Telepath,English
AVAION,Sleepless,English
Weston Estate,Sixty,English
GEN.KLOUD,VIRUS - Odd Mob Remix,English
Nic Dean,Grown Up,English
BAYNK,How Does It Feel?,English
Fleetwood Mac,Little Lies - 2017 Remaster,English
Swedish House Mafia,Ray Of Solar,English
The Neighbourhood,Softcore,English
The Jungle Giants,Love Signs,English
Dillistone,Down,English
Lime Cordiale,Robbery,English
Darci,On My Own,English
Travis Scott,Goosebumps - Remix,English
Travis Scott,TIL FURTHER NOTICE (feat. James Blake & 21 Savage),English
Travis Scott,LOST FOREVER (feat. Westside Gunn),English
Travis Scott,SKITZO (feat. Young Thug),English
Travis Scott,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),English
Travis Scott,I KNOW ?,English
Travis Scott,DELRESTO (ECHOES) (feat. Beyoncé),English
Travis Scott,FE!N (feat. Playboi Carti),English
Travis Scott,SIRENS,English
Travis Scott,GOD'S COUNTRY,English
Travis Scott,MODERN JAM (feat. Teezo Touchdown),English
Travis Scott,THANK GOD,English
Travis Scott,HYAENA,English
Travis Scott,MELTDOWN (feat. Drake),English
Travis Scott,TELEKINESIS (feat. SZA & Future),English
Jessie Reyez,IMPORTED (with 6LACK),English
Harry Mold,Bonita Cubana,English
Loyle Carner,Still,English
Frankie Stew and Harvey Gunn,Tortoise,English
Loyle Carner,Polyfilla,English
DKOHH,Summer in Chicago,English
Pale Jay,Shameful Game,English
Grady,CAN YOU HEAR THE MOON,English
rayn,meet me on the moon,English
SOLOMON,phases (feat. Kojey Radical),English
Asha Imuno,PERFECT PACE,English
Phlake,2min (feat. Vera),English
Bruno Mars,Smokin Out The Window,English
Forrest Nolan,Sinatra,English
Miller Blue,Us,English
Tai Verdes,how deep?,English
Javed-Mohsin,Pal,Hindi
SZA,Snooze,English
Amaal Mallik,Soch Na Sake,Hindi
Mariah the Scientist,Spread Thin,English
Morgan Wallen,Wasted On You,English
Jordan Ward,MUSTARD (WITH 6LACK),English
Cab'Ral,Take Time,English
SEB,god of the sunsets,English
Yung Filly,100 Bags Freestyle,English
Travis Scott,MY EYES,English
KAWALA,Ticket To Ride,English
Dreamville,Shadows (with Kehlani),English
Timothy Fleet,Sos,English
Stromae,La solassitude,French
Quevedo,Ahora y Siempre,Spanish
Jon Bellion,All Time Low,English
80purppp,118.2437° W,English
Mithoon,Sanam Re,Hindi
Post Malone,Saint-Tropez,English
XXXTENTACION,Everybody Dies In Their Nightmares,English
Jack Harlow,Way Out (feat. Big Sean),English
PARTYNEXTDOOR,Break from Toronto,English
Post Malone,Go Flex,English
Tyla Yaweh,Tommy Lee (feat. Post Malone),English
Joey Bada$$,DEVASTATED,English
Mac Miller,Weekend (feat. Miguel),English
XXXTENTACION,whoa (mind in awe),English
Travis Scott,K-POP,English
Bas,Passport Bros (with J. Cole),English
Akhil,Duniyaa (From "Luka Chuppi"),Hindi
Chris Miles,Missed Calls,English
Kane Brown,Memory,English
Joji,Feeling Like The End,English
Bazzi,Young & Alive,English
Travis Scott,YOSEMITE,English
Diplo,Heartless (feat. Morgan Wallen),English
```

Note: The language assignment is based on the artist's origin or the song's title. Some songs may have multiple languages or be instrumental, so the language assignment is an educated guess.
To provide the requested CSV format with the Artist, Name of Song, and Language, I will assume that the language of the song is English unless the song title or artist suggests otherwise (e.g., songs with non-English titles or artists known for non-English music). Here is the CSV output:

```csv
Artist,Name of Song,Language
Nic D,Cotton Candy,English
John Lennon,Hold On - Remastered 2010,English
Weezer,Island In The Sun,English
PARTYNEXTDOOR,R e s e n t m e n t,English
Travis Scott,sdp interlude,English
Lil Tjay,Project Walls (feat. YoungBoy Never Broke Again),English
YSN Fab,Been Here Before,English
YSN Fab,Soul Fly,English
YSN Fab,Thru The Thunder,English
Sade,Smooth Operator - Single Version,English
Kasien,DO WHAT I LIKE,English
Tainy,MOJABI GHOST,English
Lil Durk,All My Life (feat. J. Cole),English
Luke Combs,Fast Car,English
Lithe,Facade,English
Maria-Therese,Amore,English
Dax,To Be A Man,English
Jaylon Ashaun,Strawberries and Wine - Acoustic,English
Bellah,Home,English
Jaylon Ashaun,Pretty Girls - Acoustic,English
Vishal Dadlani,Lalla Lalla Lori,Hindi
Metro Boomin,Nas Morales (Metro Boomin & Nas),English
Don Toliver,Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz),English
Metro Boomin,Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage),English
Metro Boomin,Home (Metro Boomin & Don Toliver, Lil Uzi Vert),English
Metro Boomin,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),English
Metro Boomin,Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse),English
EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,English
Metro Boomin,Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie),English
Metro Boomin,Hummingbird (Metro Boomin & James Blake),English
Offset,Danger (Spider) (Offset & JID),English
Metro Boomin,All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert),English
Metro Boomin,Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),English
Metro Boomin,Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset),English
Travis Scott,Antidote,English
Dave,Sprinter,English
grentperez,Old With You,English
Badshah,Abhi Toh Party Shuru Hui Hai,Hindi
Arijit Singh,Raat Bhar,Hindi
Pritam,Tu Mera Hero,Hindi
Toosii,Favorite Song (feat. Future) [Toxic Version],English
ATO,Ladybird,English
Kai Whiston,Betty,English
grentperez,When We Were Younger,English
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),English
Daft Punk,Instant Crush (feat. Julian Casablancas),English
Lost Frequencies,Where Are You Now,English
Red Leather,SINS,English
JVKE,golden hour,English
Tory Lanez,And This is Just The Intro,English
Miike Snow,Genghis Khan,English
Eslabon Armado,Ella Baila Sola,Spanish
John Michael Howell,Power,English
Anne-Marie,2002,English
A Boogie Wit da Hoodie,Man in the Mirror,English
Lana Del Rey,Summertime Sadness,English
OT da Org,Can't Let You Play Me,English
Liam Thomas,Closure (feat. Sahxl),English
harper,under the sofa,English
Thekidszn,Ride For Me,English
edwin,Talking,English
Jalen Santoy,Heart Attack,English
Tory Lanez,'87 Stingray,English
Souloho,Bad News,English
Kanye West,True Love,English
Palak Muchhal,Chahun Main Ya Naa,Hindi
Roy Woods,Snow White,English
Ice Spice,Princess Diana (with Nicki Minaj),English
Pola & Bryson,Phoneline,English
YAZ,Anymore,English
venbee,low down,English
Bru-C,Freedom,English
Kehlani,Toxic,English
Clay Newton,Wrong Time,English
Dan,Legends Aren't Made,English
DaniLeigh,Easy,English
Tory Lanez,The Take (feat. Chris Brown),English
Ella Mai,How (feat. Roddy Ricch),English
Khalid,Eleven (feat. Summer Walker),English
GenriX,novocaine,English
Felix Cartal,Get What You Give,English
Mother Mother,Verbatim,English
MGMT,Time to Pretend,English
Sabrina Carpenter,Nonsense (with Coi Leray) - Remix,English
Sabrina Carpenter,Nonsense,English
Sleepy Hallow,Die Young (feat. 347aidan),English
SwitchOTR,Clearest of Signs,English
whaledontsleep,Sleeping town (feat. yama),Japanese
Mike WiLL Made-It,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),English
JON VINYL,Addicted,English
Q,Who Will?,English
Sara Diamond,You're It,English
DESTIN CONRAD,COLORWAY,English
Maeta,You Lie,English
JON VINYL,Chrome Hearts,English
Sada Baby,KHALIFA MODE,English
Lord Huron,Love Like Ghosts,English
Lord Huron,Meet Me in the Woods,English
Juice WRLD,Stay High,English
Wizkid,Ginger (feat. Burna Boy),English
Wizkid,Piece of Me (feat. Ella Mai),English
Dave,Location (feat. Burna Boy),English
Dave,System (feat. WizKid),English
DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),English
Eve,Yoku,Japanese
RADWIMPS,Suzume (feat. Toaka),Japanese
Bruno Mars,Leave The Door Open,English
Joji,Daylight,English
Kygo,Firestone,English
AJ Mitchell,Move On,English
Lukas Graham,7 Years,English
B.o.B,Nothin' on You (feat. Bruno Mars),English
Lord Huron,The Night We Met,English
Zach Zoya,Start Over,English
Ritt Momney,Put Your Records On,English
OneRepublic,Wherever I Go,English
Bruno Mars,Marry You,English
Bruno Mars,When I Was Your Man,English
Joji,SLOW DANCING IN THE DARK,English
Tate McRae,that way,English
Julia Michaels,Apple,English
Alex Vaughn,Backslide,English
ASTN,all ur fault,English
Nbdy,Missing Sumthin',English
JON VINYL,Entice Me,English
Sam Wills,Turn Back,English
Col3trane,Lights Out,English
Nbdy,F.O.E.,English
RUSSELL!,FEELS SO RIGHT,English
Col3trane,Take Notes,English
Col3trane,Astrology Joint,English
PHABO,Step 2 Me,English
SZA,Broken Clocks,English
cr0bb,One More Shot,English
Russ,3:15 (Breathe),English
Vishal-Shekhar,Dil Diyan Gallan,Hindi
Drake,Search & Rescue,English
Zach Zoya,Upper Hand,English
Wiz Khalifa,Peace and Love,English
Morray,High Price (with Lil Tjay),English
Cobra Starship,You Make Me Feel... (feat. Sabi),English
Jawad Ahmad,Samjhawan,Hindi
Milky Chance,Stolen Dance,English
6LACK,NRH,English
6LACK,Testify,English
6LACK,Rent Free,English
6LACK,Temporary (feat. Don Toliver),English
6LACK,Spirited Away,English
6LACK,preach,English
Kate Bush,Running Up That Hill (A Deal With God),English
```

Please note that the language determination is based on assumptions and may not be entirely accurate without further context.
```csv
Artist,Name of Song,Language
KAROL G,TQG,Spanish
PinkPantheress,Boy's a liar Pt. 2,English
Enrique Iglesias,Bailando - Spanish Version,Spanish
6LACK,Fatal Attraction,English
Labrinth,Formula,English
Pheelz,Finesse,English
gianni & kyle,5 Shots,English
Tyga,Sunshine,English
Abra Cadabra,Star Man (feat. Gabzy),English
JAY1,Good Vibes,English
Private Zero,Someone Else,English
Paulo Londra,Party (feat. A Boogie Wit da Hoodie),Spanish
Bad Bunny,Yonaguni,Spanish
J Balvin,LA CANCIÓN,Spanish
Rvssian,Nostálgico,Spanish
Nowlu,Stuck on you,English
Kenshi Yonezu,KICK BACK,Japanese
Vaundy,踊り子,Japanese
Omoinotake,One Day,Japanese
Nelly Furtado,Promiscuous,English
Pitbull,Time of Our Lives,English
MKTO,Classic,English
SEB,loving u is harder,English
Toosii,Favorite Song,English
Hotel Ugly,Shut up My Moms Calling,English
ELIJAH MOON,never sober (reimagined),English
Joshua Golden,Violets,English
Kado,Take It All,English
GIMS,Est-ce que tu m'aimes ? - Pilule bleue,French
GIMS,Hola Señorita,French
Loud,Toutes les femmes savent danser,French
Tayc,D O D O,French
GIMS,PRENDS MA MAIN,French
Calvin Harris,Miracle (with Ellie Goulding),English
J Coul,Procrastination Broke,English
PinkPantheress,Pain,English
Vishal-Shekhar,Khuda Jaane,Hindi
j-hope,on the street (with J. Cole),English
Labh Janjua,London Thumakda,Punjabi
Wiz Khalifa,Don't Text Don't Call,English
G. V. Prakash,Vaa Vaathi,Tamil
JAY-Z,Feelin' It,English
Joey Bada$$,500 Benz,English
Joey Bada$$,Show Me,English
Lithe,Pictures on My Wall,English
The Weeknd,Privilege,English
tobi lou,2hrs,English
Superstar Pride,PAINTING PICTURES,English
Torpe,Leave It All To Me (iCarly chill),English
Central Cee,LET GO,English
98 NP,No Trust,English
Pyrex,Break Through,English
Rella,RACING,English
R.L. Beats,Tea's Gone Cold,English
PnB Rock,Selfish,English
A Boogie Wit da Hoodie,Secrets,English
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,English
NewJeans,OMG,Korean
PARTYNEXTDOOR,Her Way - Sped Up,English
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),English
Bell Biv DeVoe,Poison,English
The Notorious B.I.G.,Big Poppa - 2007 Remaster,English
Cage The Elephant,Cigarette Daydreams,English
Calvin Harris,Slide (feat. Frank Ocean & Migos),English
RAYE,Escapism.,English
Lil Donald,Do Better,English
PARTYNEXTDOOR,LOYAL (feat. Drake),English
DJ Snake,U Are My High (with Future),English
J.I the Prince of N.Y,Need Me,English
Alina Baraz,If You Let Me,English
Col3trane,Lush Life,English
Metro Boomin,Overdue (with Travis Scott),English
JON VINYL,Slowly,English
Jorja Smith,Come Over (Remix),English
SOLOMON,listen up - Radio Edit,English
Nbdy,Toxic (Interlude),English
Chris Brown,Go Crazy,English
GIVĒON,dec 11th,English
Libianca,People,English
The Weeknd,Reminder,English
Calabasas,First Time Thing,English
Roy Woods,Don't Love Me,English
Drake,Fire & Desire,English
Drakeo the Ruler,Talk To Me,English
Drake,Texts Go Green,English
Drake,A Keeper,English
Drake,Sticky,English
Ryos,Midsummer Nights,English
Lil Mabu,On The Radar Freestyle,English
NewJeans,Ditto,Korean
Kenzy,Scorsese,English
田所あずさ,ドラム式探査機,Japanese
Kenshi Yonezu,Flamingo,Japanese
Madonna,Back That Up To The Beat - demo version,English
SDM Nation,Ты И Я,Russian
Xcho,Ты и Я,Russian
50 Cent,My Life,English
The Kid LAROI,LOVE AGAIN,English
Classified,Inner Ninja,English
Dean Lewis,How Do I Say Goodbye,English
Tom Odell,Another Love,English
Drake,Shut It Down,English
Isaac Zale,Annabelle,English
Svvn,Nocturne in E-Flat Major,Instrumental
Svvn,Clair de Lune,Instrumental
Nicki Minaj,Do We Have A Problem?,English
Dave,Starlight,English
Drake,Jimmy Cooks (feat. 21 Savage),English
EKKSTACY,i walk this earth all by myself,English
Justine Skye,Collide (feat. Tyga),English
PARTYNEXTDOOR,H e r O l d F r i e n d s,English
JJ Adrian,Moments Ago,English
Sage Harris,In My Bed,English
Sylo,Drop a Pin,English
The Weeknd,Best Friends - Remix,English
Black Atlass,Beautiful Stranger,English
dvsn,Don't Take Your Love,English
Khalid,Open (feat. Majid Jordan),English
Izzy Rose,OHWEI,English
Tasha Angela,Love Is My Condition,English
Clams Casino,Numb,Instrumental
Skrillex,Way Back,English
D-Block Europe,808,English
Popcaan,We Caa Done (feat. Drake),English
Beyoncé,CUFF IT,English
Miguel,Sure Thing,English
Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,English
Akintoye,Pizzazz,English
John Newman,Love Me Again,English
Calvin Harris,Feels (feat. Pharrell Williams, Katy Perry & Big Sean),English
Wiz Khalifa,#NeverDrinkingAgain,English
DeJ Loaf,Me U & Hennessy (feat. Lil Wayne),English
RealestK,Toxic,English
Kid Travis,Took,English
Roy Woods,Snow White,English
Burna Boy,On the Low,English
Sliime,BrandNewDrip,English
Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),English
Justin Park,You Don't Know,English
Devin Kennedy,Forget About You (Intimate),English
Hwang Chang young,Fly Up (Feat. Door) - Concert Version,Korean
Lithe,Pessimist,English
Woodie Smalls,Pending,English
Saucegod,C.C.,English
Rex Orange County,THE SHADE,English
ROSALÍA,LA FAMA,Spanish
Calvin Harris,Outside (feat. Ellie Goulding),English
Otilia,Bilionera - Dee Pete Remix,Romanian
Future,VOODOO (feat. Kodak Black),English
Metro Boomin,Raindrops (Insane) [with Travis Scott],English
```
```csv
Artist,Name of Song,Language
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],English
Drake,Forever,English
Kendrick Lamar,Swimming Pools (Drank),English
TLC,No Scrubs,English
Kanye West,All Of The Lights,English
Kanye West,Stronger,English
Kanye West,Heartless,English
Kanye West,I Wonder,English
Kanye West,Flashing Lights,English
BRADIO,Flyers,Japanese
LiSA,Rising Hope,Japanese
FLOW,Sign,Japanese
UVERworld,Touch off,Japanese
BLUE ENCOUNT,ポラリス,Japanese
Cartoon,I'm Not Alright - Metal Version,English
PornoGraffitti,THE DAY,Japanese
BURNOUT SYNDROMES,FLY HIGH!!,Japanese
FLOW,COLORS -CODE GEASS OPENING MIX-,Japanese
UVERworld,ODD FUTURE,Japanese
VK Blanka,Black Rover,Japanese
amazarashi,境界線 (Naeleck Remix) - SACRA BEATS Singles,Japanese
KANA-BOON,シルエット,Japanese
THE ORAL CIGARETTES,Kyouran Hey Kids!!,Japanese
Joyner Lucas,Ramen & OJ,English
ASIAN KUNG-FU GENERATION,Re:Re:,Japanese
Ark Woods,First Flight To Mars,English
Lil Uzi Vert,Just Wanna Rock,English
Superfly,覚醒,Japanese
Dr Dre,Nuthin' but a G Thang,English
Quality Control,Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock),English
CKay,Anya Mmiri,English
SICK LEGEND,MIDDLE OF THE NIGHT (HARDSTYLE),English
OneRepublic,All The Right Moves,English
Bastille,Pompeii,English
Burna Boy,Alone,English
Foudeqush,Con La Brisa,Spanish
Craig David,7 Days,English
Doja Cat,Streets,English
Jack Harlow,Churchill Downs (feat. Drake),English
Future,WAIT FOR U (feat. Drake & Tems),English
D-Block Europe,Darling,English
Rihanna,Loveeeeeee Song,English
Chris Brown,Under The Influence,English
21 Savage,3AM on Glenwood,English
Drake,More M’s,English
Drake,Jumbotron Shit Poppin,English
Drake,Middle of the Ocean,English
Drake,Broke Boys,English
Drake,Pussy & Millions (feat. Travis Scott),English
Drake,Circo Loco,English
Drake,Treacherous Twins,English
Drake,Hours In Silence,English
Drake,Spin Bout U,English
Drake,Privileged Rappers,English
Drake,On BS,English
Drake,Major Distribution,English
Drake,Rich Flex,English
Elton John,I'm Still Standing,English
Harry Styles,Late Night Talking,English
girl in red,we fell in love in october,English
Neon Trees,Everybody Talks,English
Cafuné,Tek It,English
Conan Gray,Disaster,English
Logic,1-800-273-8255,English
A$AP Ferg,Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi),English
A1 x J1,Latest Trends,English
Fresco Trey,Need You,English
Himesh Reshammiya,Hookah Bar,Hindi
Fame & PdotC,Love, Sex, & Water,English
Baby Keem,lost souls (with Brent Faiyaz),English
Zac Greer,crazy,English
03 Greedo,Substance,English
Sleepy Hallow,Marie,English
Ice Spice,Bikini Bottom,English
Labrinth,Jealous,English
PARTYNEXTDOOR,PERSIAN RUGS,English
GIVĒON,Favorite Mistake,English
Bryson Tiller,Don't,English
Beach Weather,Sex, Drugs, Etc.,English
Khi Infinite,SOMETIMES,English
Kid Travis,Show U Luv,English
Kid Travis,Insomnia,English
Kid Travis,Perfume,English
Kid Travis,Sunset Avenue,English
Polyphia,Ego Death (feat. Steve Vai),English
Polyphia,Neurotica,English
Polyphia,Playing God,English
Train,Drive By,English
fun.,We Are Young (feat. Janelle Monáe),English
The Yellow Diary,Buniyaad 2.0,Hindi
Polyphia,Memento Mori (feat. Killstation),English
Polyphia,ABC (feat. Sophia Black),English
Kid Travis,Galaxy,English
FINNEAS,Let's Fall in Love for the Night,English
Nic D,Icee Pop,English
Zach Hood,13 Missed Calls,English
Sylo,FOMO,English
Lil Baby,Pop Out (feat. Nardo Wick),English
Lil Baby,Real Spill,English
Khalid,OTW,English
6LACK,First Fuck,English
Trey Bond,Start Over (feat. 6LACK),English
Shiloh Dynasty,I’ll Keep You Safe,English
SwitchOTR,Coming for You (feat. A1 x J1),English
HAZEY,Packs and Potions,English
Ice Cube,It Was A Good Day,English
Sheff G,Listen,English
MASN,Hate Me!,English
Marco Luka,paradise,English
greek,rewind,English
Camila Cabello,Bam Bam (feat. Ed Sheeran),English
Kid Travis,Strawberry Skies,English
Lil Uzi Vert,20 Min,English
GIVĒON,Heartbreak Anniversary,English
YG,I Dance (with Duki, feat. Cuco),English
Lil Baby,Drip Too Hard (Lil Baby & Gunna),English
YK Osiris,Worth It,English
Dhruv,moonlight,English
admo,Equinox,English
Post Malone,Wasting Angels (with The Kid LAROI),English
Post Malone,One Right Now (with The Weeknd),English
isthatshiko,Shame,English
The Police,Every Breath You Take,English
50 Cent,Many Men (Wish Death),English
80purppp,Soleil,English
Summer Walker,No Love (with SZA),English
SZA,I Hate U,English
Summer Walker,Ex For A Reason (with JT from City Girls),English
Ravneet Aulakh,Pyar Te Vail,Punjabi
YSN Flow,Want Beef?,English
Far East Movement,Rocketeer,English
Lil Baby,In A Minute,English
Kendrick Lamar,All The Stars (with SZA),English
Harry Styles,Sign of the Times,English
Roy Woods,Drama (feat. Drake),English
Ice Spice,Munch (Feelin’ U),English
Indila,Tourner Dans Le Vide,French
Nic D,Talladega,English
DJ Khaled,NO SECRET (feat. Drake),English
Shaggy,It Wasn't Me,English
RIZ LA VIE,Go Again,English
BENEE,Supalonely,English
24kGoldn,VALENTINO,English
Bad Bunny,Party,Spanish
Drake,Fair Trade (with Travis Scott),English
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),English
